21-Jan-26 10:16:54 - Created path loss file ./logs/loss_log_20260121101654_.npy.npz
21-Jan-26 10:16:56 - Training model...
21-Jan-26 10:17:08 - Total Steps = 84218
21-Jan-26 10:17:08 - Input Features Shape: torch.Size([30, 4])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - Path Loss Shape: torch.Size([30])
21-Jan-26 10:17:08 - extra_features_tokens.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - score.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - hidden1.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - pooled_score.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - hidden2.shape torch.Size([30, 2000])
21-Jan-26 10:17:08 - logits.shape torch.Size([30, 1])
21-Jan-26 11:39:07 - [Epoch=1 | Step=22000/84218] loss=0.4773
21-Jan-26 11:39:29 - [Epoch=1 | Step=22100/84218] loss=0.0002
21-Jan-26 11:39:52 - [Epoch=1 | Step=22200/84218] loss=0.1911
21-Jan-26 11:40:15 - [Epoch=1 | Step=22300/84218] loss=0.0688
21-Jan-26 11:40:37 - [Epoch=1 | Step=22400/84218] loss=0.0442
21-Jan-26 11:41:00 - [Epoch=1 | Step=22500/84218] loss=0.0137
21-Jan-26 11:41:23 - [Epoch=1 | Step=22600/84218] loss=0.1687
21-Jan-26 11:41:45 - [Epoch=1 | Step=22700/84218] loss=0.0023
21-Jan-26 11:42:06 - [Epoch=1 | Step=22800/84218] loss=0.0003
21-Jan-26 11:42:28 - [Epoch=1 | Step=22900/84218] loss=0.0229
21-Jan-26 11:42:50 - [Epoch=1 | Step=23000/84218] loss=0.0351
21-Jan-26 11:43:12 - [Epoch=1 | Step=23100/84218] loss=0.3373
21-Jan-26 11:43:35 - [Epoch=1 | Step=23200/84218] loss=0.2713
21-Jan-26 11:43:57 - [Epoch=1 | Step=23300/84218] loss=0.2132
21-Jan-26 11:44:18 - [Epoch=1 | Step=23400/84218] loss=0.2386
21-Jan-26 11:44:40 - [Epoch=1 | Step=23500/84218] loss=0.0333
21-Jan-26 11:45:01 - [Epoch=1 | Step=23600/84218] loss=0.3377
21-Jan-26 11:45:24 - [Epoch=1 | Step=23700/84218] loss=0.0261
21-Jan-26 11:45:46 - [Epoch=1 | Step=23800/84218] loss=0.0005
21-Jan-26 11:46:09 - [Epoch=1 | Step=23900/84218] loss=0.0006
21-Jan-26 11:46:32 - [Epoch=1 | Step=24000/84218] loss=0.0046
21-Jan-26 11:46:54 - [Epoch=1 | Step=24100/84218] loss=0.0395
21-Jan-26 11:47:17 - [Epoch=1 | Step=24200/84218] loss=0.0004
21-Jan-26 11:47:39 - [Epoch=1 | Step=24300/84218] loss=0.0069
21-Jan-26 11:48:01 - [Epoch=1 | Step=24400/84218] loss=0.0093
21-Jan-26 11:48:24 - [Epoch=1 | Step=24500/84218] loss=0.0233
21-Jan-26 11:48:47 - [Epoch=1 | Step=24600/84218] loss=0.7289
21-Jan-26 11:49:09 - [Epoch=1 | Step=24700/84218] loss=0.0024
21-Jan-26 11:49:31 - [Epoch=1 | Step=24800/84218] loss=0.2943
21-Jan-26 11:49:53 - [Epoch=1 | Step=24900/84218] loss=0.0261
21-Jan-26 11:50:16 - [Epoch=1 | Step=25000/84218] loss=0.0073
21-Jan-26 11:50:40 - [Epoch=1 | Step=25100/84218] loss=0.0016
21-Jan-26 11:51:02 - [Epoch=1 | Step=25200/84218] loss=0.0389
21-Jan-26 11:51:25 - [Epoch=1 | Step=25300/84218] loss=0.0010
21-Jan-26 11:51:48 - [Epoch=1 | Step=25400/84218] loss=0.0072
21-Jan-26 11:52:12 - [Epoch=1 | Step=25500/84218] loss=0.0197
21-Jan-26 11:52:37 - [Epoch=1 | Step=25600/84218] loss=0.1471
21-Jan-26 11:53:01 - [Epoch=1 | Step=25700/84218] loss=0.0283
21-Jan-26 11:53:25 - [Epoch=1 | Step=25800/84218] loss=0.0324
